StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,Train,-2.122892155,340.422,282,272.838,-1111.820345,-1111.838822,-0.0184768,-1111.451773,-1111.470945,-0.019172,-1091.206663,-1091.231819,-0.025156,-1090.761531,-1090.786411,-0.02488,4.8828,6.0882,-0.19595,-0.01763,0.26052,0.19616,569.1530151,-2.17471,-3.3684,-0.80503,0.84944,-3.28889,49,12495.5,18035.5,27683,0.389529778,0.593017303,0.628736483,6,12.94842669,-227.7582513,240.7066779,4780,0.032201188,0.01382037
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,Train,-1.772342835,280.373,88.75,277.864,-878.8497997,-878.8604605,-0.010660739,-878.55994,-878.57104,-0.0111,-862.3973046,-862.4122816,-0.01497706,-862.043366,-862.062919,-0.019553,3.0414,4.3751,-0.1878,-0.02107,0.25708,0.18801,579.1953125,0,-2.83961,-0.51169,0.65001,-2.00215,41,11193,23988.5,24377,0.369819899,0.397934312,0.961286284,3,-102.2085391,-262.5693192,160.3607801,7770,-0.033792705,0.009282762
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,Train,0.089474843,406.907,163.75,206.079,-3410.630191,-3410.638092,-0.00790109,-3410.520115,-3410.528373,-0.008258,-3364.900915,-3364.922635,-0.02172018,-3364.763177,-3364.785714,-0.022537,1.6468,2.344,-0.24575,-0.05397,0.22418,0.24596,517.6691895,-1.40626,-0.9319,-0.70313,0.53055,-1.27174,27,14552,18859,22143,0.590707015,0.677792542,0.891304348,10,101.7547502,-32.80581355,134.5605638,1208,0.037629295,0.018139086
ACMLKANOGIVEPB-UHFFFAOYSA-N,c1ccc2c(c1)cc(C(=O)O)c(=O)o2,Test,-2.823897322,190.155,189,141.57,-685.6169595,-685.6329896,-0.016030078,-685.512503,-685.526959,-0.014456,-672.8769823,-672.8878289,-0.010846661,-672.750883,-672.761483,-0.0106,4.8004,6.9951,-0.26099,-0.10645,0.1717,0.2612,357.6298523,-2.46022,0.58215,-0.69684,0.81021,-2.46022,20,6611,10158.5,17041.5,0.329787234,0.492063491,0.651286973,4,17.56817408,-212.0469836,229.6151577,5397,0.036717134,0.009999526
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,Train,-2.110796646,348.466,204,266.199,-1399.063851,-1399.07693,-0.01307845,-1398.755332,-1398.768971,-0.013639,-1375.366956,-1375.381046,-0.01408976,-1374.992616,-1375.006867,-0.014251,0.1471,0.1016,-0.22777,-0.03213,0.24602,0.22798,601.7988281,-1.367,-4.26066,-0.72337,0.83282,-1.17547,45,19117,22095,22702,0.63046358,0.899207482,0.970220895,18,-63.42545565,-173.402459,109.9770034,1881,-0.039661181,0.013219811
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,Train,-1.445595972,418.4,145,268.206,-1490.54041,-1490.564929,-0.02451929,-1490.184257,-1490.210127,-0.02587,-1462.913319,-1462.943021,-0.0297026,-1462.486149,-1462.516339,-0.03019,5.5545,7.4757,-0.23503,-0.09004,0.18811,0.23524,602.9498291,-6.70668,-0.66604,-0.79819,0.53884,-6.70668,52,18507,20640.5,24750,0.671597231,0.845639754,0.886459768,13,68.52154491,-251.7049213,320.2264662,5101,0.037976485,0.019636635
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,Test,0.408412743,167.121,141,114.269,-625.3494318,-625.3619867,-0.012554853,-625.267947,-625.280885,-0.012938,-613.6794067,-613.686946,-0.007539285,-613.580702,-613.587912,-0.00721,5.6269,7.4129,-0.30207,-0.11539,0.16276,0.30228,327.2557068,-2.14867,-0.02229,-0.71662,0.81581,-1.64518,17,6881,9178.5,15090,0.360465116,0.473282443,0.990098999,7,44.75420952,-166.2826963,211.0369059,4949,0.040902303,0.017612583
AGPKZVBTJJNPAG-UHFFFAOYSA-N,CCC(C)C(C(=O)O)N,Test,-2.493568977,131.175,274.5,119.774,-441.6998052,-441.7089149,-0.009109771,-441.543156,-441.553133,-0.009977,-433.4348464,-433.444726,-0.009879662,-433.241492,-433.251301,-0.009809,1.3067,1.8586,-0.25641,-0.01413,0.26402,0.25662,325.9322205,-1.37624,-1.48098,-0.92518,0.81883,-2.30142,22,8367.5,11787.5,12187,0.689753662,0.787610531,0.96135912,6,4.596597114,-79.27195614,83.86855326,1253,-0.040552549,0.010168148
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Train,-1.83088487,287.145,129.09,181.137,-1144.905108,-1144.92462,-0.01951213,-1144.798269,-1144.818559,-0.02029,-1123.53148,-1123.540227,-0.00874677,-1123.39945,-1123.407413,-0.007963,3.8769,5.6263,-0.31796,-0.16125,0.1169,0.31817,422.374176,-3.02302,-0.29858,-0.48223,0.62568,-1.14629,25,11935.5,12988.5,18732,0.638752768,0.713405185,0.981708069,5,253.4735878,-146.5350899,400.0086777,7911,0.050563605,0.017848106
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],Train,-1.416756969,339.391,251,287.076,-1130.405017,-1130.438018,-0.03300153,-1130.08277,-1130.115348,-0.032578,-1109.364232,-1109.385631,-0.02139898,-1108.976453,-1108.998832,-0.022379,11.1884,17.2023,-0.18755,-0.05605,0.2221,0.18776,604.2354126,-2.3593,-2.42086,-0.73847,0.39191,-2.71856,46,17062,21837,25386.5,0.630513239,0.867090139,0.868655038,3,106.0119283,-466.7909397,572.802868,13551,0.042270155,0.015848177
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,Train,-0.164919184,200.281,189.325,184.342,-653.1295245,-653.148234,-0.018709489,-652.874797,-652.890794,-0.015997,-640.8852943,-640.9010274,-0.01573309,-640.572317,-640.590224,-0.017907,0,0,-0.26104,-0.01011,0.26804,0.26125,494.7801819,-1.40664,-2.59896,-0.70332,0.69568,-2.72676,34,6460,17852,20525.5,0.26241135,0.3725163,0.694444444,3,61.52462147,-201.8554273,263.3800488,7118,0.037001974,0.016386574
ALUFYZNLZVVCAA-UHFFFAOYSA-N,C=C(C)C1CC(=O)C(C)C(=O)C1,Train,-0.277683685,166.22,187.25,146.707,-539.9453249,-539.957863,-0.012538125,-539.763236,-539.775635,-0.012399,-529.8710577,-529.8784767,-0.007419001,-529.645288,-529.652738,-0.00745,4.0316,5.2793,-0.25372,-0.05376,0.22439,0.25393,372.5901184,-1.18206,-2.43861,-0.71612,0.61339,-1.18206,26,9462,13466,13702,0.64466278,0.824049427,0.97869845,4,82.56458014,-148.6270354,231.1916155,6304,0.032048159,0.010661765
