StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,Test,-4.1,241.3536,119,208.877,-1064.536616,-1064.546868,-0.010252,-1064.287609,-1064.2983,-0.010691,-1047.059943,-1047.06626,-0.00631682,-1046.754997,-1046.760289,-0.005292,2.4129,3.5396,-0.23006,-0.0182,0.30107,0.25498,504.5178833,0,-2.24001,-0.83033,0.62646,-2.87268,35,22903.5,32543,40549,0.488372093,0.649411448,0.889768814,6,-74.17425739,-171.1652763,96.99101886,4734,-0.036156586,0.011322039
ABICJYZKIYUWEE-UHFFFAOYSA-N,O=[N+]([O-])C1C(=O)NC(=O)NC1=O,Train,-2.28,173.0848,183,87.688,-694.5718413,-694.5926609,-0.020819588,-694.515646,-694.535976,-0.02033,-681.6287526,-681.639644,-0.010891444,-681.555996,-681.567485,-0.011489,3.17,5.5512,-0.31561,-0.12008,0.19919,0.34053,310.5214844,-2.47641,1.97523,-0.66516,0.84196,-3.29649,15,15761.5,18965.5,24683.5,0.614626859,0.790140558,1,3,144.2100306,-172.5761907,316.7862212,5042,0.062829477,0.023130593
ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,Train,-3.95,286.7171,205,193.062,-1298.402301,-1298.419767,-0.01746581,-1298.213824,-1298.231634,-0.01781,-1277.172879,-1277.185886,-0.01300682,-1276.948572,-1276.964656,-0.016084,4.5943,6.9716,-0.25536,-0.07963,0.23964,0.28028,483.7244263,-1.4361,-0.80515,-0.77795,0.67298,-2.53017,31,28135.5,28789.5,40020,0.587792679,0.592048234,0.894574116,4,80.17453683,-204.379352,284.5538888,7085,0.038041765,0.017338249
AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C,Train,-4.23,100.2034,-135,101.009,-276.4017563,-276.4021607,-0.000404331,-276.217649,-276.218571,-0.000922,-271.1974361,-271.1926773,0.004758771,-270.967684,-270.963182,0.004502,0.0739,0.0889,-0.30408,0.00508,0.32435,0.329,307.255127,0,-3.75959,-0.69092,0.2397,0,23,16891.5,20587.5,22435.5,0.806122449,0.875979912,0.957771692,0,0,0,0,0,0,0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC,Train,-5.51,140.268,-66.15,145.198,-393.1168428,-393.1185181,-0.00167524,-392.877896,-392.880117,-0.002221,-385.7171899,-385.7113106,0.005879365,-385.419917,-385.413903,0.006014,0.4904,0.6343,-0.25756,0.00292,0.32219,0.28248,428.4981995,0,-4.64298,-0.68812,0.24795,0,30,11566,31507,31639.5,0.333362754,0.359782702,0.929292974,2,-13.89209476,-13.89209476,0,304,-0.02441876,0.002510087
AFOGBLYPWJJVAL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,Train,-3.05,256.319,131,239.975,-1162.159257,-1162.179872,-0.02061538,-1161.939707,-1161.960559,-0.020852,-1142.575567,-1142.593507,-0.01793966,-1142.310013,-1142.330053,-0.02004,4.9796,8.5554,-0.26808,-0.05141,0.26786,0.293,494.6982117,-2.61941,-2.54532,-0.97094,2.33225,-1.88709,33,22410,35990,36743,0.485869347,0.561473181,0.838178838,2,-1.512492662,-299.8293698,298.3168772,7404,0.040291312,0.021327646
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1,Train,-1.71997,167.1208,141,100.033,-625.3376121,-625.3548087,-0.017196605,-625.256856,-625.274055,-0.017199,-613.6671197,-613.6763923,-0.009272663,-613.568486,-613.577826,-0.00934,2.7546,3.5778,-0.30497,-0.12605,0.19322,0.32989,326.756073,-2.12886,-0.03167,-0.71122,0.81821,-1.62496,17,14167.5,17868.5,28839.5,0.423495012,0.529651247,0.98586586,3,132.3712229,-166.3065234,298.6777463,6975,0.042821182,0.01858299
AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,Train,-4.001,231.2938,73.5,150.961,-748.9688058,-748.9836771,-0.014871301,-748.72772,-748.743545,-0.015825,-735.0077565,-735.0082842,-0.000527782,-734.713959,-734.714736,-0.000777,7.5038,10.9806,-0.20531,-0.05948,0.25979,0.23023,459.4943542,-1.1891,-2.61005,-0.71667,0.765,-1.64531,34,19709.5,24966.5,40739.5,0.443626206,0.607584536,0.70380355,3,59.16443237,-233.1116188,292.2760511,8767,0.032123871,0.007560055
AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,Train,-4.347,355.4513,118.25,251.597,-1159.075346,-1159.090058,-0.01471138,-1158.695894,-1158.709452,-0.013558,-1137.542578,-1137.546799,-0.00422121,-1137.075396,-1137.080935,-0.005539,3.1931,3.8766,-0.21567,-0.06728,0.25199,0.24059,645.319397,-1.40728,-4.46255,-0.79361,0.58867,-2.32119,52,27122,49476,52515,0.403543989,0.525868805,0.699751856,11,33.78135497,-150.0375021,183.8188571,3032,0.030278002,0.006925774
AGMMTXLNIQSRCG-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,Train,-3.29,289.7361,275.5,204.96,-1636.586825,-1636.613963,-0.02713845,-1636.406824,-1636.43452,-0.027696,-1611.170483,-1611.194335,-0.02385143,-1610.955791,-1610.981073,-0.025282,7.9423,11.8175,-0.24405,-0.06977,0.2495,0.26897,468.5610657,-2.63081,-1.15669,-1.12123,2.30103,-2.70107,30,19565.5,30383,39842,0.476231573,0.630041303,0.762782622,3,94.829107,-353.7635325,448.5926395,7666,0.049699772,0.020396829
AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Train,-7.199998,320.045,109.25,247.86,-2380.318285,-2380.328009,-0.00972472,-2380.165339,-2380.175287,-0.009948,-2347.795779,-2347.80221,-0.00643079,-2347.608056,-2347.614409,-0.006353,0.4338,0.3645,-0.25284,-0.05217,0.2671,0.27776,497.0978699,0,-2.59065,-0.3134,0.29032,-0.08827,28,23408.5,36287,36514.5,0.538720539,0.695652214,0.845115003,3,221.7409596,-11.49582062,233.2367803,3183,0.03447012,0.008440697
AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC,Train,-2,257.2589,25.5,187.646,-1729.330893,-1729.348565,-0.01767198,-1729.185455,-1729.203515,-0.01806,-1703.725968,-1703.728411,-0.00244363,-1703.543913,-1703.547375,-0.003462,2.1818,3.0386,-0.24256,-0.05996,0.25931,0.26748,452.1102905,-2.96326,-0.5392,-0.8687,1.66285,-2.44008,26,20868.5,30176.5,36638,0.580349957,0.629090938,0.794716739,4,-50.44700839,-287.7081867,237.2611783,7647,-0.037623668,0.009912398
AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,Train,-3.494,249.3172,213.5,159.168,-1745.895015,-1745.914557,-0.01954205,-1745.795695,-1745.815732,-0.020037,-1720.325386,-1720.343914,-0.01852781,-1720.203763,-1720.220806,-0.017043,4.1153,6.2892,-0.24513,-0.10035,0.21892,0.27005,399.8743896,-2.52427,-1.89894,-1.11956,2.30716,-0.43318,21,17523,25190,33105,0.556952477,0.707484142,0.86664503,5,71.10069486,-224.1704648,295.2711597,3968,0.039062073,0.009108922
AKUJBENLRBOFTD-UHFFFAOYSA-N,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,Train,-4.9,434.5037,247.5,320.451,-1484.43064,-1484.448354,-0.01771381,-1483.9685,-1483.989265,-0.020765,-1456.934401,-1456.935688,-0.00128762,-1456.371701,-1456.371793,-9.20E-05,9.742,6.2891,-0.23839,-0.06529,0.25398,0.26331,654.8651123,-3.98881,-4.09394,-0.78721,0.82995,-4.40372,62,30214.5,48206.5,53651,0.471358647,0.610310115,0.820682971,7,202.7780196,-297.6746078,500.4526274,13571,0.036393796,0.016424308
AMEKQAFGQBKLKX-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,Train,-2.43,267.299,120,162.031,-1218.908667,-1218.927536,-0.01886913,-1218.712783,-1218.7325,-0.019717,-1198.331785,-1198.350413,-0.01862819,-1198.098366,-1198.115362,-0.016996,5.1204,7.3455,-0.22625,-0.05949,0.25978,0.25117,464.4553833,-3.12288,-2.11938,-0.97683,2.15043,-1.59607,31,19438.5,30098,40630.5,0.44334417,0.605593245,0.721429594,4,-22.41669847,-284.610974,262.1942755,6944,-0.040986603,0.014630576
AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1,Test,-3.211,182.1786,96.5,131.07,-645.9781845,-645.9924847,-0.014300209,-645.836036,-645.850713,-0.014677,-633.9122186,-633.9163917,-0.004173067,-633.741893,-633.746286,-0.004393,7.5057,9.9868,-0.22442,-0.09088,0.22839,0.24934,378.9792175,-1.41035,-1.11135,-0.86483,0.49341,-1.78177,23,14403,21852.5,33347.5,0.387218045,0.560439571,0.687499993,3,92.66351637,-197.6693059,290.3328222,7542,0.038495468,0.012174682
AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,Train,-0.6,88.1492,-78.45,91.172,-272.9895263,-272.995626,-0.006099705,-272.856081,-272.862556,-0.006475,-267.8698981,-267.8724751,-0.002576957,-267.703944,-267.706452,-0.002508,1.666,2.176,-0.27732,-0.00047,0.3188,0.30224,294.401123,-0.81241,-2.22606,-0.81241,0.51176,-0.81241,18,10637,19878.5,20410,0.45021645,0.480258549,0.896551724,2,-9.954631169,-60.1902282,50.23559703,1360,-0.044257521,0.014007877
AMRQXHFXNZFDCH-UHFFFAOYSA-N,O=C(OC(C(=O)NCC)C)Nc1ccccc1,Train,-1.83,236.27,119,158.794,-802.1660479,-802.1798199,-0.013771932,-801.940573,-801.955526,-0.014953,-787.1773786,-787.1794518,-0.002073204,-786.902732,-786.906766,-0.004034,3.0274,4.2351,-0.23787,-0.02826,0.29101,0.26279,484.9683228,-1.96916,-1.20178,-0.70903,0.94647,-3.25671,33,21744,31620.5,40251,0.489473662,0.551213703,0.860797941,5,11.03975578,-138.3920388,149.4317946,2848,0.035304673,0.015674043
ANJTVLIZGCUXLD-UHFFFAOYSA-N,O=c1n2c(ccc1)C1CNCC(C2)C1,Train,0.36,190.2444,155,159.491,-612.3463661,-612.362029,-0.015662931,-612.141302,-612.156829,-0.015527,-600.9557637,-600.9668949,-0.011131153,-600.709645,-600.719369,-0.009724,5.2024,7.4772,-0.2133,-0.04361,0.27566,0.23822,372.1828003,-0.73232,-1.88002,-0.73232,0.61383,-1.87584,28,19375.5,22439,30412.5,0.703319449,0.769790075,0.916109314,3,73.19520481,-183.0219272,256.217132,7151,0.035829553,0.009603652
APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1cc2c(cc1)cccc2,Train,-4.4,207.0693,54,137.357,-2957.035794,-2957.040257,-0.00446347,-2956.931733,-2956.93626,-0.004527,-2922.778996,-2922.77735,0.00164565,-2922.654663,-2922.653025,0.001638,2.0588,2.6932,-0.23084,-0.05956,0.25971,0.25576,342.4750671,0,-1.85373,-0.25819,0.26724,0.04734,18,13470.5,19431.5,30924.5,0.376518219,0.50273224,0.720404001,3,82.85223769,-17.76573263,100.6179703,3683,0.027319568,0.004015043
APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,Train,-1.539,283.3318,174,174.328,-1897.472214,-1897.498449,-0.02623504,-1897.342774,-1897.369616,-0.026842,-1868.805981,-1868.844423,-0.03844241,-1868.652077,-1868.689666,-0.037589,3.6906,6.027,-0.28171,-0.08864,0.23063,0.30663,426.3872681,-4.63938,-2.48361,-1.11835,2.30964,-0.69113,25,19785.5,26936.5,33356.5,0.54804091,0.706535622,0.892302923,4,144.3798909,-261.2062784,405.5861693,7950,0.051017128,0.01743028
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,Train,-3.78,365.8337,256,252.408,-1867.639684,-1867.666672,-0.02698803,-1867.387351,-1867.413716,-0.026365,-1837.922434,-1837.94396,-0.02152589,-1837.620527,-1837.641882,-0.021355,7.4857,12.9006,-0.24301,-0.06834,0.25093,0.26793,560.8483887,-2.62079,-2.2107,-1.1218,2.30194,-2.51864,40,24612.5,39070.5,47026.5,0.481459784,0.564746842,0.919130351,3,34.4848535,-396.869941,431.3547945,8413,0.043053133,0.021291946
AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,Train,-1.40229,252.3366,141.5,164.954,-1117.386686,-1117.414648,-0.02796221,-1117.170802,-1117.197313,-0.026511,-1098.940209,-1098.956947,-0.01673854,-1098.670345,-1098.690287,-0.019942,4.4749,4.3285,-0.22036,-0.02486,0.29441,0.24528,521.8492432,0,-1.29718,-0.71806,0.60541,-3.37648,33,20457,34798,42576.5,0.426581386,0.510362575,0.895454578,5,7.323786256,-323.4483598,330.7721461,4627,-0.045894956,0.016780085
AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC,Train,-0.24,88.1492,-69.075,98.286,-272.9938948,-272.9990345,-0.005139661,-272.860489,-272.86613,-0.005641,-267.871946,-267.8740256,-0.002079651,-267.705441,-267.70722,-0.001779,1.7497,2.3017,-0.27397,0.00151,0.32078,0.29889,285.1423645,-0.81195,-2.2963,-0.81195,0.50875,-0.81195,18,11939.5,19674.5,21455,0.585714286,0.691089247,0.932917319,3,-8.782312789,-54.4988994,45.71658661,1336,0.031963492,0.014092515
ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,Train,-0.397,210.1428,231,132.038,-797.9680219,-797.9957307,-0.027708864,-797.865556,-797.89238,-0.026824,-783.1225236,-783.1445668,-0.022043175,-782.99553,-783.018201,-0.022671,3.8961,5.6869,-0.30133,-0.12265,0.19662,0.32625,367.5466919,-3.99,1.53864,-0.71834,0.84134,-3.99,21,16520,20460,32825.5,0.476506205,0.578635568,0.828848246,4,188.190004,-223.5489447,411.7389487,7419,0.055497904,0.026463096
ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,Train,-3.509,240.1038,82,154.307,-1794.606973,-1794.617284,-0.01031117,-1794.513685,-1794.524362,-0.010677,-1769.227433,-1769.236659,-0.00922603,-1769.111836,-1769.121352,-0.009516,5.9313,8.0259,-0.27999,-0.10773,0.21154,0.30491,393.8843079,-1.82781,-1.90355,-0.91435,2.24726,0.03484,20,18170.5,29294,30046.5,0.559865282,0.646485615,0.99073568,4,37.37037201,-191.2829447,228.6533167,6209,0.03581152,0.007523793
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,Train,-7.020001,256.3464,122.5,186.755,-771.8138498,-771.8200607,-0.00621089,-771.55813,-771.564286,-0.006156,-757.4086316,-757.404995,0.00363666,-757.10203,-757.098585,0.003445,0.175,0.2838,-0.19817,-0.06843,0.25084,0.22309,471.7829895,0,-4.02103,-0.71619,0.25777,0,36,19603,26813,46670,0.383660528,0.544835145,0.681509805,11,-35.87813368,-104.5293853,68.65125167,2230,-0.025175862,0.002244666
ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,Train,-4.86,298.2959,6.1,241.737,-1541.054292,-1541.067778,-0.01348519,-1540.847238,-1540.860872,-0.013634,-1516.587236,-1516.585822,0.00141447,-1516.32891,-1516.327976,0.000934,4.3491,6.1952,-0.25148,-0.09798,0.22129,0.2764,555.7894287,-2.39818,-2.45144,-0.8711,2.09625,-1.31325,34,25330,35642,47611,0.548790715,0.742031711,0.977242703,4,-48.33294444,-273.7126506,225.3797062,6835,-0.040045743,0.011591591
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2,Train,-4.73,194.2324,152,136.512,-614.7676416,-614.7758862,-0.008244615,-614.605888,-614.613927,-0.008039,-603.3040817,-603.3054623,-0.001380616,-603.11167,-603.113167,-0.001497,1.287,1.8862,-0.19394,-0.0704,0.24887,0.21886,382.6009216,-0.71324,-2.0737,-0.71324,0.52565,-0.71324,25,13642,20070,37435.5,0.333333333,0.473118275,0.711538462,4,19.3923362,-93.72211643,113.1144526,3635,-0.025783251,0.003782676
AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,Train,-3.68,376.3682,290,225.934,-1330.275185,-1330.3078,-0.03261508,-1329.957925,-1329.990452,-0.032527,-1305.535943,-1305.55897,-0.02302656,-1305.15355,-1305.175905,-0.022355,7.5102,11.4633,-0.25146,-0.12533,0.19394,0.27638,598.2529907,-4.52739,0.1427,-0.82502,0.81015,-6.52439,47,29207,33948,55382,0.515243136,0.577592173,0.972228466,8,203.2532251,-357.9950287,561.2482538,11335,0.040437495,0.011172156
AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,Test,-4.71725,296.5214,70,197.962,-2095.39307,-2095.408342,-0.01527206,-2095.146745,-2095.161311,-0.014566,-2065.879851,-2065.875752,0.00409932,-2065.572037,-2065.568472,0.003565,0.3673,2.7832,-0.21032,-0.03627,0.283,0.23524,531.8052979,0,-4.00858,-0.70341,0.2651,-1.0484,36,22980.5,34826.5,43807,0.550142454,0.647887324,0.87692797,3,-85.03514933,-324.8103443,239.7751949,6830,-0.047556419,0.013727665
AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C,Train,0.94,116.1626,-1,94.676,-382.5042285,-382.5136988,-0.009470318,-382.362379,-382.372214,-0.009835,-375.3275985,-375.3259914,0.001607093,-375.152763,-375.150434,0.002329,3.5766,5.2603,-0.23616,-0.00028,0.31899,0.26108,310.6023865,-0.7369,-1.06616,-0.7369,0.83077,-1.8022,20,15021.5,19322.5,22998.5,0.615583022,0.785582346,0.807995755,2,0.650307004,-135.0145057,135.6648127,4969,0.027302236,0.003787634
AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,Train,-1.773,249.2658,103.5,189.941,-860.1045936,-860.1228943,-0.018300718,-859.880595,-859.898902,-0.018307,-844.1170726,-844.1233528,-0.006280209,-843.843115,-843.849472,-0.006357,2.5369,4.1655,-0.25169,-0.05663,0.26264,0.27661,479.6381226,-2.48603,-0.82858,-0.68649,0.82515,-2.97951,33,18015.5,35149.5,37843,0.462928555,0.482786526,0.966781348,4,-31.80450574,-261.6014243,229.7969186,5269,0.035710246,0.011323689
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1,Train,-1.6,120.1506,-37,118.021,-384.8617714,-384.8681666,-0.006395133,-384.7551,-384.761515,-0.006415,-377.6843054,-377.6841532,0.000152145,-377.554986,-377.554483,0.000503,1.93,2.6171,-0.24961,-0.02394,0.29533,0.27453,303.1288757,-0.58164,-1.38709,-0.58164,0.25364,-0.58164,17,13256.5,17977.5,24688,0.535318286,0.712151822,0.714755765,3,3.402133248,-85.4076428,88.80977605,3473,0.025571487,0.003529519
AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,Train,-4.53,339.2176,73,223.456,-1803.555994,-1803.566113,-0.01011899,-1803.315442,-1803.326167,-0.010725,-1775.882925,-1775.88478,-0.00185439,-1775.589787,-1775.592281,-0.002494,3.5287,4.6766,-0.25154,-0.04208,0.27719,0.27646,554.1115112,-1.96959,-2.42134,-0.77449,0.83799,-1.99669,38,30644.5,37632.5,43612.5,0.655416321,0.749772035,0.792255747,9,144.9706016,-84.95335623,229.9239579,6531,0.029607806,0.005413296
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,Train,-0.09,119.12,244,96.62,-438.2876995,-438.3050987,-0.017399165,-438.18006,-438.197785,-0.017725,-430.1066515,-430.1218765,-0.015224978,-429.97471,-429.989577,-0.014867,4.7674,5.9674,-0.26473,-0.01842,0.30085,0.28965,283.2250671,-2.1952,-0.05648,-0.92194,0.80988,-3.11714,17,14448.5,17195.5,21820,0.707164203,0.777924733,0.923640369,4,75.93521077,-159.9344228,235.8696335,5772,0.040864455,0.019381499
BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,Train,-3.82,341.1902,40,255.58,-1839.442661,-1839.455739,-0.01307718,-1839.22781,-1839.241131,-0.013321,-1811.149417,-1811.15309,-0.00367305,-1810.883006,-1810.889848,-0.006842,5.4022,6.6997,-0.23425,-0.04053,0.27874,0.25917,582.737915,-2.24586,-1.37379,-0.69303,0.80888,-2.24155,36,24326,41287.5,47042.5,0.476804872,0.579141412,0.809626732,9,76.79689667,-153.890853,230.6877496,6090,0.031707673,0.006233513
BAPJBEWLBFYGME-UHFFFAOYSA-N,O=C(OC)C=C,Train,-0.22,86.0902,-75,64.338,-306.4818303,-306.4885511,-0.006720726,-306.416724,-306.423742,-0.007018,-300.7423517,-300.7401816,0.0021701,-300.661973,-300.66091,0.001063,2.3483,3.1674,-0.28736,-0.06204,0.25723,0.31228,256.6029358,-1.20573,-0.2367,-0.64886,0.78759,-1.20573,12,10550.5,14956,19370,0.54787234,0.73788153,0.75,3,-5.990967561,-88.52053577,82.52956821,1757,-0.050381637,0.014137069
BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,Train,-6.172998,202.255,150,159.958,-615.7921766,-615.7975995,-0.005422863,-615.620251,-615.625747,-0.005496,-604.3199841,-604.3171734,0.002810706,-604.116102,-604.112725,0.003377,0,0,-0.20584,-0.06622,0.25305,0.23076,387.6643066,0,-2.52143,-0.24391,0.25476,0,26,15767.5,19827.5,38576,0.342412473,0.423076923,0.923313804,4,1.589765126,-86.54789029,88.13765541,1932,-0.023071952,0.001329584
BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,Train,-3.02497,209.2906,160,207.558,-670.1597557,-670.17576,-0.016004302,-669.909379,-669.926312,-0.016933,-657.6113529,-657.6189526,-0.007599604,-657.304698,-657.312233,-0.007535,4.6775,6.611,-0.21759,-0.03105,0.28822,0.24251,473.5541382,-0.72107,-2.45396,-0.72107,0.64934,-2.58612,34,19721,31315.5,39174.5,0.415092888,0.5694167,0.743434603,2,55.3667609,-23.56050291,78.92726381,8141,0.009695033,0.049964546
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,FC1(F)C(F)(F)C(F)(F)C1(F)F,Train,-3.92,200.0312,-41.4,83.533,-951.1451773,-951.1482338,-0.003056442,-951.134504,-951.136485,-0.001981,-933.9171224,-933.9120812,0.005041175,-933.899552,-933.895113,0.004439,0,0.0008,-0.3555,-0.06348,0.25579,0.38042,279.024231,0,2.67316,-0.33506,0.6683,-2.67315,12,15641.5,15643.5,16173,0.888888889,0.888888971,0.991769604,6,54.38935176,0,54.38935176,309,0.037890771,0.013087078
