StdInChIKey,SMILES,LogS,T,Source
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,-0.400578187,21,Reaxys
ABRHLWPJYNIPHN-UHFFFAOYSA-N,O=C(NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,-3.500180194,NA,Reaxys
ACGUYXCXAPNIKK-UHFFFAOYSA-N,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,0.394826213,20,Reaxys
AFHJQYHRLPMKHU-GIWDNFATSA-N,[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,-1.221572041,18,Reaxys
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)C1=CC=CC(=C1)N(=O)=O,0.444041636,20,Reaxys
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,0.243700949,18,Reaxys
AIONOLUJZLIMTK-AWEZNQCLSA-N,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,-0.468519224,25.04,Reaxys
AIVJRJRAYJHCCR-DPAQBDIFSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,-2.827756863,20,Reaxys
AJVBPNRMKNARPG-UHFFFAOYSA-N,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,-0.921291877,25,Reaxys
ALYNCZNDIQEVRV-UHFFFAOYSA-N,NC1=CC=C(C=C1)C(O)=O,0.337495442,24,Reaxys
AMBQHHVBBHTQBF-UOUCRYGSSA-N,[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC,-2.318227789,NA,Reaxys
ANGUXJDGJCHGOG-UHFFFAOYSA-N,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,-2.016550754,20,Reaxys
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,-1.436150825,15,Reaxys
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,-0.459237338,20,Reaxys
ASDLSKCKYGVMAI-UHFFFAOYSA-N,OC(=O)C1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,-1.963880817,25,Reaxys
ASWVTGNCAZCNNR-UHFFFAOYSA-N,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,-3.605907144,24.99,Reaxys
