StdInChIKey,SMILES,LogS,T,Source
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,-2.122892155,16.5,Reaxys
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,-1.772342835,21,Reaxys
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,0.089474843,20,Reaxys
ACMLKANOGIVEPB-UHFFFAOYSA-N,c1ccc2c(c1)cc(C(=O)O)c(=O)o2,-2.823897322,20,Reaxys
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,-2.110796646,20,Reaxys
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,-1.445595972,18,Reaxys
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,0.408412743,25,Reaxys
AGPKZVBTJJNPAG-UHFFFAOYSA-N,CCC(C)C(C(=O)O)N,-2.493568977,25,Reaxys
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.83088487,18,Reaxys
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],-1.416756969,20,Reaxys
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,-0.164919184,25,Reaxys
ALUFYZNLZVVCAA-UHFFFAOYSA-N,C=C(C)C1CC(=O)C(C)C(=O)C1,-0.277683685,18,Reaxys
ANADDXJINIYFJZ-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)NC(CO)(CO)CO,-1.482794438,20,Reaxys
ANNNHXBSGYPBEY-UHFFFAOYSA-N,COc1ccc(c(c1)OC)N=Cc1ccc(cc1)c1ccccc1,-2.06048026,22,Reaxys
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.290243154,15,Reaxys
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,-0.711484813,20,Reaxys
ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(C)nc(n1)NS(=O)(=O)c1ccc(cc1)N,-3.681525248,24.99,Reaxys
AXTHVITXCLTTHB-UHFFFAOYSA-N,c1c(cc(c(c1Cl)OP(=O)(O)Oc1c(cc(cc1Cl)Cl)Cl)Cl)Cl,-0.634478221,25,Reaxys
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O,-2.230886645,25,Reaxys
AZQWKYJCGOJGHM-UHFFFAOYSA-N,C1=CC(=O)C=CC1=O,-0.528663663,18,Reaxys
BAQAVOSOZGMPRM-QBMZZYIRSA-N,C([C@@H]1[C@H]([C@@H]([C@@](CCl)(O1)O[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)Cl)O)O)O)O)Cl,-0.610212632,24.99,Reaxys
BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,-3.855481051,25,Reaxys
BBQDLDVSEDAYAA-AATRIKPKSA-N,c1ccc(c(c1)/C=C/C(=O)O)[N+](=O)[O-],-1.969944603,25,Reaxys
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12,-2.673538801,20,Reaxys
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)OCOC(=O)c1ccccc1,-1.113495321,24,Reaxys
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,-0.032780167,23.1,Reaxys
BDZVJQHQHIFHSH-UHFFFAOYSA-N,COc1ccc(cc1)C(c1ccccc1)(C(c1ccccc1)(c1ccc(cc1)OC)O)O,-2.851780004,25,Reaxys
BEKZHETVNVFYCV-UHFFFAOYSA-N,c1cc2cc(cc(c2c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-2.757471948,23,Reaxys
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccccc1)O,-0.817557062,24.91,Reaxys
BGJVYSMLCJNCJV-UHFFFAOYSA-N,CCC(C)(CC)OC(=O)NC(=O)N,-1.325291914,18,Reaxys
BHXIVVULYOMXPF-UHFFFAOYSA-N,CCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-3.14716535,20,Reaxys
BMDXUEGXLYOKJV-UHFFFAOYSA-N,Cc1cc(C)c(c(C)c1)C(=O)C(C(c1ccccc1)c1ccccc1)Br,-2.279553947,25,Reaxys
BMRYPQYWSJESHA-UHFFFAOYSA-N,C(C(=O)NCC(=O)O)NC(=O)N,-2.940199207,25,Reaxys
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@@H]1[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O1)O)O)O,-0.36417146,20,Reaxys
BOJSVPWDUXGPEE-YXJPLFFZSA-N,CC(=Cc1ccco1)C=NNC(=O)N,-2.071174513,22,Reaxys
BOOLNDQTRIDYQF-UHFFFAOYSA-N,c1ccc(cc1)OC(=O)NC(=O)N,-1.674740629,20,Reaxys
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,Cc1ccc(cc1)OP(=O)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,-0.715024726,25,Reaxys
BOTZEHKIPCIHDX-UHFFFAOYSA-N,COc1ccc(cc1)c1cc(c2ccc(c(c2)OC)O)c(C#N)c(=O)[nH]1,-1.927672678,24.99,Reaxys
BQNWWHFSEXYHKU-UHFFFAOYSA-N,C(CCC(=O)O)CCNC(=O)N,-2.121462376,25,Reaxys
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COc1ccc(cc1C#N)c1nc(C)c(C(=O)O)s1,-1.519664904,24.99,Reaxys
